Movie Index,User Index,Rating
356,137,4.0
708,91,2.0
411,300,4.0
55,59,4.0
894,196,3.0
324,600,4.0
94,709,3.0
91,832,2.0
424,915,5.0
270,939,2.0
354,610,1.0
711,706,3.0
824,698,3.0
239,15,4.0
1149,313,4.0
683,216,5.0
123,275,5.0
293,509,3.0
264,756,3.0
464,880,3.0
822,879,3.0
242,796,2.0
391,187,5.0
201,245,3.0
432,444,2.0
181,90,4.0
55,371,4.0
115,890,3.0
284,70,3.0
637,278,4.0
308,687,5.0
490,58,4.0
116,55,5.0
465,853,3.0
159,614,3.0
18,638,4.0
590,698,2.0
98,194,3.0
301,675,5.0
1027,278,4.0
123,633,3.0
124,504,3.0
6,616,3.0
97,665,4.0
793,415,5.0
926,654,3.0
247,292,3.0
135,349,5.0
338,403,1.0
95,27,5.0
267,427,4.0
247,732,3.0
274,353,4.0
627,485,3.0
178,408,5.0
239,581,4.0
199,252,4.0
515,353,5.0
1008,662,3.0
174,668,4.0
69,534,4.0
182,559,5.0
385,6,4.0
320,222,1.0
929,406,2.0
124,108,5.0
684,642,3.0
69,584,5.0
539,221,3.0
146,623,4.0
426,329,5.0
664,496,2.0
658,663,5.0
196,120,4.0
252,757,5.0
14,25,4.0
267,112,4.0
434,683,3.0
427,644,4.0
475,317,4.0
871,782,4.0
1264,439,5.0
179,193,3.0
22,75,5.0
12,61,4.0
470,942,5.0
210,544,3.0
123,662,3.0
296,138,5.0
221,434,3.0
66,416,4.0
42,289,3.0
251,938,3.0
285,819,4.0
723,296,3.0
272,441,4.0
30,302,3.0
244,831,3.0
595,329,5.0
1044,121,4.0
509,6,5.0
587,127,5.0
581,315,5.0
1015,143,3.0
232,772,1.0
268,115,3.0
78,652,4.0
116,673,5.0
207,652,3.0
743,138,5.0
431,843,5.0
1046,707,2.0
1472,654,3.0
745,939,3.0
983,254,1.0
210,295,4.0
762,335,3.0
87,748,4.0
268,146,4.0
204,9,5.0
353,214,4.0
1007,536,2.0
1009,560,3.0
90,302,5.0
557,885,3.0
953,567,2.0
267,203,3.0
760,585,3.0
277,653,3.0
826,898,2.0
874,835,1.0
671,267,2.0
81,870,3.0
221,676,4.0
987,602,4.0
49,289,5.0
151,40,4.0
743,157,4.0
88,270,3.0
280,268,1.0
879,707,3.0
865,716,1.0
332,84,1.0
741,319,4.0
435,289,2.0
353,550,3.0
511,560,4.0
228,342,4.0
613,310,4.0
727,388,3.0
172,449,5.0
61,670,5.0
234,760,3.0
368,245,3.0
660,262,5.0
894,617,3.0
120,362,2.0
603,24,4.0
529,404,1.0
257,498,2.0
683,505,5.0
653,304,4.0
339,588,1.0
402,804,4.0
194,307,5.0
267,919,3.0
257,246,5.0
281,654,3.0
8,290,5.0
190,624,3.0
148,353,5.0
931,470,5.0
333,308,4.0
214,750,4.0
171,555,5.0
27,770,5.0
645,665,3.0
120,93,2.0
218,813,4.0
618,698,2.0
355,663,3.0
457,732,2.0
98,692,3.0
287,786,1.0
565,660,4.0
322,501,4.0
258,29,4.0
330,615,4.0
8,389,5.0
565,93,2.0
1036,452,1.0
143,714,5.0
557,832,4.0
263,485,3.0
419,416,4.0
904,449,5.0
332,719,4.0
271,710,5.0
1048,180,1.0
596,385,3.0
660,495,3.0
1134,261,3.0
256,675,5.0
126,408,4.0
11,822,4.0
30,197,3.0
196,232,5.0
178,805,5.0
110,539,4.0
1086,730,1.0
2,471,5.0
24,273,5.0
97,849,1.0
1018,486,5.0
10,592,4.0
519,345,5.0
1221,895,2.0
131,513,4.0
1134,377,2.0
325,855,2.0
840,879,3.0
22,213,5.0
227,889,4.0
54,523,2.0
795,471,4.0
81,346,5.0
819,696,3.0
495,621,4.0
63,869,5.0
233,637,4.0
171,373,3.0
131,863,5.0
306,398,3.0
18,536,4.0
161,733,3.0
12,902,5.0
107,746,4.0
454,881,3.0
120,61,4.0
422,129,5.0
81,253,4.0
207,393,5.0
770,652,2.0
331,662,4.0
1394,205,1.0
1012,665,3.0
170,396,5.0
385,261,3.0
567,27,4.0
770,449,3.0
117,395,4.0
209,542,3.0
234,255,3.0
510,888,4.0
273,455,3.0
28,880,2.0
323,935,5.0
162,394,5.0
899,12,5.0
604,523,1.0
141,275,3.0
602,863,4.0
24,932,2.0
422,912,3.0
134,304,3.0
865,548,4.0
282,242,3.0
136,580,5.0
