num_factors,time_taken,best_epoch,train_RMSE,test_RMSE
1,28.54270100593567,7,0.92279434,0.9817712
2,29.873766660690308,7,0.92270803,0.9624617
4,31.114912509918213,2,0.9233067,0.957728
6,33.50210499763489,2,0.92335373,0.9555324
8,36.03532671928406,0,0.92520577,0.9554929
12,43.03780150413513,1,0.9241842,0.9560967
16,56.179332971572876,5,0.923421,0.9574817
24,59.904412031173706,7,0.92418104,0.95735234
32,63.794955015182495,7,0.9259225,0.9601596
48,71.97788071632385,7,0.9313103,0.9642014
64,81.22415208816528,7,0.9383498,0.97235984
96,104.94953393936157,7,0.95485115,0.9885373
128,137.51722145080566,7,0.97624934,1.011076
192,221.9182596206665,7,1.014875,1.0467964
256,360.3253860473633,7,1.0414194,1.0751741
