num_factors,time_taken,best_epoch,train_RMSE,test_RMSE
1,29.446489095687866,119,12.969081,13.826508
2,29.228909492492676,119,2.680096,2.8552063
4,28.857871532440186,119,0.94188577,0.98785806
6,29.630215167999268,119,1.0424325,1.1020646
8,29.27124810218811,119,1.1488458,1.2187004
12,29.35909366607666,119,1.2484576,1.3261541
16,29.270500421524048,119,1.272313,1.3557711
24,29.275887727737427,119,1.3257564,1.4163527
32,29.062106132507324,119,1.3511596,1.4409788
48,29.793442487716675,119,1.3245295,1.4155259
64,29.432002544403076,119,1.3085859,1.4017259
96,29.082744359970093,119,1.3153275,1.3981508
128,29.00308632850647,119,1.309639,1.391313
192,29.18836212158203,119,1.3245059,1.4160461
256,29.378105878829956,119,1.3406276,1.4282751
