Run,Time Taken,Best Epoch,Train RMSE,Test RMSE
1,33.844523191452026,90,0.66798913,0.92805296
2,33.919766664505005,87,0.69032097,0.9259657
3,34.35639238357544,88,0.6852277,0.92801416
4,33.829633951187134,87,0.6908416,0.92780346
5,33.771048069000244,88,0.6838261,0.92775625
6,34.03139352798462,87,0.6914752,0.9292385
7,34.580238580703735,89,0.6772752,0.92850244
8,34.62810158729553,88,0.6826034,0.9277746
9,35.13953876495361,84,0.7142768,0.9313196
10,35.131067752838135,89,0.67638457,0.9264891
11,34.54395294189453,88,0.68387854,0.9290868
12,33.08525848388672,88,0.6820637,0.92944145
13,33.80636954307556,89,0.6757068,0.92605007
14,33.009759187698364,87,0.6907591,0.92904955
15,33.140137910842896,87,0.69019973,0.92765385
16,33.99303913116455,87,0.6915567,0.92666197
17,34.79913902282715,87,0.6901033,0.92740345
18,34.0813844203949,85,0.7061249,0.9303529
19,35.0039165019989,87,0.69074047,0.9288361
20,34.89945125579834,88,0.6850234,0.9286616
21,33.97156381607056,89,0.6751096,0.92660874
22,34.05855417251587,85,0.7058571,0.9291296
23,33.5365355014801,86,0.6976948,0.9281581
24,33.237956285476685,86,0.69846594,0.9317634
25,33.354482889175415,88,0.6845917,0.92802465
26,34.49339985847473,86,0.699307,0.9286739
27,34.10489273071289,88,0.6818831,0.9273113
28,34.88503861427307,87,0.691807,0.9289158
29,34.55875253677368,87,0.6888891,0.92839503
30,34.51620864868164,87,0.69254583,0.92948383
31,34.48141431808472,88,0.6831191,0.92719936
32,34.31101393699646,89,0.67602116,0.9295316
33,33.94240713119507,87,0.6909589,0.92787135
34,33.98872470855713,85,0.7070954,0.9287985
35,32.964855670928955,88,0.6826912,0.9293314
36,34.92289662361145,88,0.68494064,0.9301749
37,33.96466064453125,88,0.6828588,0.92588675
38,34.28332233428955,89,0.6771726,0.9284265
39,34.17008686065674,87,0.69208515,0.92793447
40,34.17775058746338,88,0.68371767,0.92762476
41,34.394492864608765,89,0.6789376,0.9298372
42,34.37432026863098,89,0.67683345,0.9274002
43,34.22865700721741,87,0.69147223,0.9283102
44,34.37667226791382,88,0.68279177,0.92771626
45,34.097055196762085,88,0.68505555,0.9276546
46,33.92225980758667,88,0.68361795,0.9291651
47,33.55463147163391,86,0.6984035,0.9288343
48,33.59832143783569,90,0.66960263,0.9271463
49,34.074827909469604,87,0.69173473,0.930661
50,34.19305396080017,88,0.6839501,0.9282136
51,33.80786895751953,87,0.690503,0.9283836
52,34.34275674819946,86,0.70048064,0.9305022
53,34.28383493423462,85,0.7077024,0.9296823
54,34.09924530982971,88,0.68449414,0.92861974
55,34.05916690826416,81,0.73485833,0.9302017
56,33.837308406829834,88,0.6824468,0.92706394
57,34.02538704872131,87,0.6898855,0.9279782
58,34.110573530197144,87,0.6910497,0.9286387
59,33.49996471405029,86,0.69747007,0.92783254
60,33.76127743721008,83,0.72242564,0.9330522
61,33.958754777908325,88,0.6832886,0.92651594
62,33.7694776058197,88,0.68319184,0.9279276
63,33.88668394088745,87,0.69083947,0.9268446
64,34.01892805099487,89,0.6774044,0.92730445
65,33.93931818008423,87,0.6913734,0.92854404
66,33.971978187561035,88,0.68432015,0.926234
67,34.31245017051697,87,0.6913417,0.9289852
68,34.134968757629395,87,0.69192195,0.92888105
69,34.035398960113525,87,0.69124615,0.9273391
70,34.00241041183472,86,0.6977823,0.92934656
71,33.379703998565674,88,0.68309927,0.92774034
72,33.36368203163147,86,0.6996183,0.929168
73,33.1248996257782,88,0.6845487,0.92848223
74,32.941954135894775,88,0.68374485,0.9271156
75,32.87940835952759,88,0.68299633,0.92674726
76,33.534366607666016,89,0.67613786,0.9286601
77,33.966044902801514,89,0.6769206,0.9293016
78,33.81553530693054,87,0.69103944,0.92894894
79,33.79668593406677,88,0.6833243,0.9265897
80,33.834434032440186,88,0.68456805,0.92775345
81,33.799187660217285,88,0.68318146,0.92841077
82,33.65843343734741,86,0.69803625,0.929065
83,33.487616539001465,88,0.6844994,0.9282726
84,33.49510860443115,87,0.69176877,0.9284912
85,33.583678007125854,88,0.6816681,0.9254727
86,32.74550676345825,87,0.6913721,0.92810476
87,33.26562762260437,89,0.67733806,0.92658305
88,33.177693605422974,87,0.69059485,0.9290913
89,33.65685772895813,88,0.6814876,0.92778957
90,33.48594856262207,85,0.7045605,0.9294237
91,33.32061004638672,89,0.6756721,0.9288335
92,33.11515235900879,87,0.6926704,0.92802787
93,33.38712120056152,87,0.6896318,0.92822105
94,33.91392230987549,87,0.6911805,0.93307877
95,33.55435276031494,87,0.6899584,0.9287168
96,33.90804600715637,88,0.6832998,0.92655605
97,33.373626708984375,87,0.6915168,0.9280103
98,32.91792011260986,90,0.6692323,0.92839473
99,33.199434995651245,89,0.6739068,0.92927366
100,32.87823271751404,88,0.68270797,0.92934895
