num_factors,time_taken,best_epoch,train_RMSE,test_RMSE
1,34.391066551208496,1,0.91375947,0.949387
2,32.6997275352478,1782,0.85876024,0.93594277
4,33.78769016265869,51,0.90016437,0.9486785
6,32.52220416069031,47,0.9025188,0.9488642
8,33.00685691833496,63,0.86936253,0.9470524
12,32.4204626083374,66,0.8563969,0.94768065
16,34.12021589279175,71,0.8267932,0.9445034
24,33.296011447906494,74,0.81476027,0.9471176
32,32.63372826576233,51,0.89352536,0.94898665
48,31.944211721420288,78,0.77476406,0.9415488
64,32.86010980606079,81,0.7502538,0.9354622
96,33.57776474952698,84,0.72766405,0.93445224
128,33.430925130844116,79,0.75782835,0.9376754
192,33.98399877548218,85,0.70903987,0.93046194
256,34.29507327079773,85,0.7055269,0.92952895
