num_factors,time_taken,best_epoch,train_RMSE,test_RMSE
1,26.436140298843384,597,0.91370827,0.9494229
2,30.42566967010498,93,0.8595428,0.9381423
4,32.29787063598633,16,0.81011903,0.9843208
6,36.973318576812744,0,0.85518396,1.0029457
8,41.821743965148926,0,0.83025825,1.027318
12,53.24641942977905,0,0.79413986,1.1462827
16,85.47139739990234,4,0.64512676,1.439865
24,118.82415556907654,1,0.6187116,1.5127755
32,154.23889827728271,1,0.54999125,1.5763818
48,208.0938699245453,0,0.5347957,1.6264778
64,295.63020610809326,0,0.45070583,1.6102057
96,470.0253167152405,246,0.022732247,1.6557802
128,711.8893313407898,0,0.23163573,1.6343148
192,1226.3061780929565,0,0.11796528,1.4270389
256,2127.5478756427765,0,0.058147367,1.2697701
