Number of Factors,Train RMSE,Validation RMSE,Time (s)
1,0.9120132923126221,0.9198741912841797,832.8241283893585
2,0.8934744000434875,0.9099819660186768,902.9014756679535
4,0.8777464032173157,0.9137658476829529,1161.8598155975342
8,0.8564915657043457,0.9271644949913025,1606.755355834961
12,0.8496621251106262,0.9161328077316284,2059.181017637253
16,0.8399280905723572,0.8869548439979553,2414.8579139709473
24,0.8192670345306396,0.8632296919822693,3278.374740123749
32,0.8200235962867737,0.8622715473175049,4033.1865317821503
48,0.88370680809021,0.9088026881217957,6120.528297901154
64,0.8966591358184814,0.9148155450820923,7887.876086235046
